id,date,tournament,opponent,format,saltcrewScore,opponentScore,map,result,hasRecap
s48-01,2024-01-15,ESEA Season 48 - Open,SVN,bo1,3,13,de_anubis,loss,FALSE
s48-02,2024-01-17,ESEA Season 48 - Open,TheBoys,bo1,15,19,de_mirage,loss,FALSE
s48-03,2024-01-23,ESEA Season 48 - Open,HOQEO,bo1,13,8,de_anubis,win,FALSE
s48-04,2024-01-24,ESEA Season 48 - Open,Washed Whales,bo1,13,8,de_vertigo,win,FALSE
s48-05,2024-01-29,ESEA Season 48 - Open,SeeingRedGaming,bo1,13,11,de_anubis,win,FALSE
s48-06,2024-01-31,ESEA Season 48 - Open,Mishaps,bo1,13,9,de_anubis,win,FALSE
s48-07,2024-02-05,ESEA Season 48 - Open,Rat Pack,bo1,13,4,de_vertigo,win,FALSE
s48-08,2024-02-07,ESEA Season 48 - Open,Zyn Jong Un,bo1,13,11,de_vertigo,win,FALSE
s48-09,2024-02-12,ESEA Season 48 - Open,square nation,bo1,5,13,de_anubis,loss,FALSE
s48-10,2024-02-17,ESEA Season 48 - Open,Team Upsetti,bo1,13,10,de_vertigo,loss,FALSE
s48-11,2024-02-19,ESEA Season 48 - Open,lofi hip hop radio,bo1,10,13,de_anubis,loss,FALSE
s48-12,2024-02-21,ESEA Season 48 - Open,ABG Hunters,bo1,19,15,de_mirage,win,FALSE
s48-13,2024-02-26,ESEA Season 48 - Open,raisedbypixels,bo1,1,0,FFW,win,FALSE
s48-14,2024-02-28,ESEA Season 48 - Open,FAWSET,bo1,13,5,de_anubis,loss,FALSE
s48-15,2024-03-06,ESEA Season 48 Playoffs - Open,Washed Whales,bo3,,,,win,FALSE
s48-16,2024-03-08,ESEA Season 48 Playoffs - Open,FASTMEN,bo3,,,,loss,FALSE
s49-01,2024-04-08,ESEA Season 49 - Open,Ecliptic,bo1,1,0,FFW,win,FALSE
s49-02,2024-04-10,ESEA Season 49 - Open,Low LvL Dudes,bo1,13,2,de_anubis,win,FALSE
s49-03,2024-04-15,ESEA Season 49 - Open,Cottagers,bo1,1,0,FFW,win,FALSE
s49-04,2024-04-17,ESEA Season 49 - Open,Raging Rhinos,bo1,13,5,de_vertigo,win,FALSE
s49-05,2024-04-22,ESEA Season 49 - Open,Trash Compactor,bo1,13,4,de_anubis,win,FALSE
s49-06,2024-04-24,ESEA Season 49 - Open,eL YeeT,bo1,13,9,de_anubis,win,FALSE
s49-07,2024-04-29,ESEA Season 49 - Open,Boiler Boys,bo1,6,13,de_anubis,loss,FALSE
s49-08,2024-05-01,ESEA Season 49 - Open,GOBLINS,bo1,14,16,de_ancient,loss,FALSE
s49-09,2024-05-06,ESEA Season 49 - Open,Bowel Bandits,bo1,11,13,de_anubis,loss,FALSE
s49-10,2024-05-08,ESEA Season 49 - Open,Yogaball Frags,bo1,11,13,de_ancient,loss,FALSE
s49-11,2024-05-13,ESEA Season 49 - Open,Yapping Yetis,bo1,13,8,de_ancient,win,FALSE
s49-12,2024-05-15,ESEA Season 49 - Open,REDACTED,bo1,13,5,de_anubis,win,FALSE
s49-13,2024-05-20,ESEA Season 49 - Open,Drunk Old Fools,bo1,13,1,de_vertigo,win,FALSE
s49-14,2024-05-22,ESEA Season 49 - Open,Gamma Gaming,bo1,1,0,FFW,win,FALSE
s49-15,2024-05-28,ESEA Season 49 Playoffs - Open,BYE,bo3,1,0,FFW,win,FALSE
s49-16,2024-06-04,ESEA Season 49 Playoffs - Open,AuGaming,bo3,,,,win,FALSE
s49-17,2024-06-05,ESEA Season 49 Playoffs - Open,OUTER SAVAGE,bo3,,,,loss,FALSE
s50-01,2024-07-17,ESEA Season 50 - Intermediate,Nori Aim,bo1,13,3,de_nuke,win,FALSE
s50-02,2024-07-18,ESEA Season 50 - Intermediate,Juan Arm,bo1,9,13,de_anubis,loss,FALSE
s50-03,2024-07-23,ESEA Season 50 - Intermediate,Conscious Gaming,bo1,9,13,de_anubis,loss,FALSE
